ID,GPU,Index_cellphones,Index_fpt,Index_tgdd,Comment_count,Price,Rating,Rating_count,Series,Brand,cpu_brand,cpu_code,ram_size,storage_size,displ_size,displ_rate,Battery,OS,P/N,displ_resolution,hdmi,Release_year,Surface,Weight,backlit_keyboard,lan,length,ram_upgradable,screen_technology,sd_card,storage_extra_slot,storage_type,headphone_jack,thickness,type_c,usb_a,width,Availabe_in,GPU_brand
210,nvidia geforce gtx 1650,https://cellphones.com.vn/laptop-acer-aspire-7-a715-42g-r6zr.html,,https://www.thegioididong.com/laptop/acer-aspire-7-gaming-a715-42g-r6zr-r5-nhqaysv003?src=osp#top-tskt,381,21840000,4.8,23,aspire 7 gaming a715 42g r6zr nh.qaysv.003,acer,amd,5500u,8,512,15.6,144,48,windows 10,nh.qaysv.003,1920 x 1080,yes,2021,plastic,2.1,yes,yes,363.4,yes,ips,no,no,ssd,yes,22.9,yes,yes,254.5,2,nvidia
211,nvidia geforce rtx 3060,https://cellphones.com.vn/laptop-gigabyte-g5-kc-5s11130sh.html,,https://www.thegioididong.com/laptop/gigabyte-gaming-g5-i5-kc5s11130sb?src=osp#top-tskt,13,29240000,,0,gaming g5 kc-5s11130sb,gigabyte,intel,10500h,16,512,15.6,144,41,windows 11,kc-5s11130sb,1920 x 1080,yes,2021,plastic,2.2,yes,yes,361,yes,ips,yes,yes,ssd,yes,24.9,yes,yes,258,2,nvidia
212,nvidia geforce rtx 3050,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx506hm-hn018t.html,,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx506hcb-i5-hn1138w?src=osp#top-tskt,42,27490000,,0,tuf gaming fx506hcb hn1138w,asus,intel,11400h,8,512,15.6,144,48,windows 11,hn1138w,1920 x 1080,yes,2021,"metal, plastic",2.3,yes,yes,359,yes,ips,no,yes,ssd,yes,24.9,yes,yes,256,2,nvidia
213,intel iris xe graphics,https://cellphones.com.vn/laptop-lg-gram-17-2021.html,,https://www.thegioididong.com/laptop/lg-gram-17-i7-17z90pgah78a5?src=osp#top-tskt,13,53145000,,0,gram 17 2021 17z90p-g.ah78a5,lg,intel,1165g7,16,1024,17,60,80,windows 10,17z90p-g.ah78a5,2560 x 1600,yes,2021,"carbon, magnesium",1.35,yes,no,380.2,no,ips,yes,yes,ssd,yes,17.8,yes,yes,260.1,2,intel
214,nvidia geforce rtx 3070,https://cellphones.com.vn/laptop-msi-gaming-gp76-leopard-11ug-280vn.html,,https://www.thegioididong.com/laptop/msi-gp76-11ug-i7-435vn?src=osp#top-tskt,47,51490000,,0,gaming leopard gp76 11ug 435vn,msi,intel,11800h,16,1024,17.3,240,65,windows 10,435vn,1920 x 1080,yes,2021,metal,2.9,yes,yes,397,yes,ips,yes,yes,ssd,yes,25.9,no,yes,284,2,nvidia
215,intel iris xe graphics,https://cellphones.com.vn/laptop-lg-gram-17-2021-ssd-512gb.html,,https://www.thegioididong.com/laptop/lg-gram-17-i7-17z90pgah76a5?src=osp#top-tskt,3,51765000,,0,gram 17 2021 17z90p-g.ah76a5,lg,intel,1165g7,16,512,17,60,80,windows 10,17z90p-g.ah76a5,2560 x 1600,yes,2021,"carbon, magnesium",1.35,yes,no,380.2,no,ips,yes,yes,ssd,yes,17.8,yes,yes,260.1,2,intel
216,intel iris xe graphics,https://cellphones.com.vn/laptop-lg-gram-16-2021.html,,https://www.thegioididong.com/laptop/lg-gram-16-i7-16z90pgah75a5?src=osp#top-tskt,10,49145000,,0,gram 16 2021 16z90p-g.ah75a5,lg,intel,1165g7,16,512,16,60,80,windows 10,16z90p-g.ah75a5,2560 x 1600,yes,2021,"carbon, magnesium",1.19,yes,no,355.9,no,ips,yes,yes,ssd,yes,16.8,yes,yes,243.4,2,intel
217,intel iris xe graphics,https://cellphones.com.vn/laptop-lg-gram-16-2021-ssd-256gb.html,,https://www.thegioididong.com/laptop/lg-gram-16-i7-16z90pgah73a5?src=osp#top-tskt,5,47145000,,0,gram 16 2021 16z90p-g.ah73a5,lg,intel,1165g7,16,256,16,60,80,windows 10,16z90p-g.ah73a5,2560 x 1600,yes,2021,"carbon, magnesium",1.19,yes,no,355.9,no,ips,yes,yes,ssd,yes,16.8,yes,yes,243.4,2,intel
218,intel iris xe graphics,https://cellphones.com.vn/laptop-lg-gram-2021.html,,https://www.thegioididong.com/laptop/lg-gram-14-i7-14z90pgah75a5?src=osp#top-tskt,6,46145000,,0,gram 14 2021 14z90p-g.ah75a5,lg,intel,1165g7,16,512,14,60,72,windows 10,14z90p-g.ah75a5,1920 x 1200,yes,2021,"carbon, magnesium",0.999,yes,no,313.4,no,ips,yes,yes,ssd,yes,16.8,yes,yes,215.2,2,intel
219,nvidia geforce rtx 3050 ti,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g14-ga401qe-k2097t.html,,https://www.thegioididong.com/laptop/asus-rog-zephyrus-gaming-g14-ga401qec-r9-k2064t?src=osp#top-tskt,37,45240000,,0,rog zephyrus g14 alan walker ga401qec k2064t,asus,amd,5900hs,16,1024,14,120,76,windows 10,k2064t,2560 x 1440,yes,2021,"metal, plastic",1.7,yes,no,324,yes,ips,no,no,ssd,yes,19.9,yes,yes,220,2,nvidia
220,intel iris xe graphics,https://cellphones.com.vn/laptop-asus-zenbook-flip-s-ux371ea-hl701ts.html,,https://www.thegioididong.com/laptop/asus-zenbook-ux371ea-i7-hl725ws?src=osp#top-tskt,7,41490000,,0,zenbook ux371ea hl725ws,asus,intel,1165g7,16,1024,13.3,60,67,windows 11,hl725ws,3840 x 2160,yes,2021,metal,1.2,yes,no,305,no,oled,no,no,ssd,no,13.9,yes,yes,211,2,intel
221,m1 8-core gpu,https://cellphones.com.vn/macbook-pro-2020-13-inch-touch-bar-m1-16gb-512gb.html,,https://www.thegioididong.com/laptop/apple-macbook-pro-2020-z11c?src=osp#top-tskt,303,44995000,4.715789474,19,macbook pro m1 2020,apple,apple,m1,16,512,13.3,60,58,mac os,z11c,2560 x 1600,no,2020,metal,1.4,yes,no,304.1,no,ips,no,no,ssd,yes,15.6,yes,no,212.4,2,m1
222,intel iris xe graphics,https://cellphones.com.vn/laptop-asus-zenbook-duo-14-ux482eg-ka099t.html,,https://www.thegioididong.com/laptop/asus-zenbook-ux482ea-i7-ka111t?src=osp#top-tskt,43,39990000,,0,zenbook duo ux482ea ka111t,asus,intel,1165g7,16,1024,14,60,70,windows 10,ka111t,1920 x 1080,yes,2021,metal,1.62,yes,no,324,no,ips,yes,no,ssd,yes,17.3,yes,yes,222,2,intel
223,m1 8-core gpu,https://cellphones.com.vn/macbook-pro-2020-13-inch-touch-bar-m1-512gb.html,,https://www.thegioididong.com/laptop/apple-macbook-pro-2020-myd92saa?src=osp#top-tskt,188,39495000,,0,macbook pro m1 2020,apple,apple,m1,8,512,13.3,60,58,mac os,myd92sa/a,2560 x 1600,no,2020,metal,1.4,yes,no,304.1,no,ips,no,no,ssd,yes,15.6,yes,no,212.4,2,m1
224,m1 7-core gpu,https://cellphones.com.vn/macbook-air-2020-m1-16gb-512gb.html,,https://www.thegioididong.com/laptop/apple-macbook-air-m1-2020-z12a00050?src=osp#top-tskt,87,39495000,,0,macbook air m1 2020,apple,apple,m1,16,512,13.3,60,50,mac os,z12a00050,2560 x 1600,no,2020,metal,1.29,yes,no,304.1,no,ips,no,no,ssd,yes,4.1,yes,no,212.4,2,m1
