P/N,rating,rating_count,comment_count,Brand,Series,price,cpu_brand,cpu_code,RAM,RAM_upgradable,GPU,battery_wh,storage_type,storage_size,storage_upgradable,screen_size,display_resolution,display_rating,screen_technology,weight,length,width,height,OS,surface_material,release_year,hdmi,jack,lan,type_c,usb,sd,keyboard_light
90NB0SM1-M09060,5.0,19.0,1633.0,Asus,Zenbook UX425EA-KI429T/i5-1135G7,23199000,Intel,1135G7,8,Yes,Intel Iris Xe Graphics,65 W,SSD,512,Yes,14.0,1920 x 1080,60,Anti-glare LED-backlit,1.17,319,208,13.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A515EP-BQ196T,5.0,1.0,112.0,Asus,VivoBook A515EP-BQ196T/i7-1165G7,22499000,Intel,1165G7,8,Yes,Nvidia Geforce MX330 2GB,65 W,SSD,512,Yes,15.6,1920 x 1080,60,Anti-glare LED-backlit,1.8,359,235,17.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
90NB0VZ2-M00650,5.0,1.0,30.0,Asus,Vivobook Pro M3401QA-KM040T/R7-5800H,22309000,AMD,5800H,8,Yes,AMD Radeon Graphics,90 W,SSD,512,Yes,14.0,2880 x 1800,90,OLED,1.4,319,228,19.5,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
70253897,5.0,1.0,165.0,Dell,Inspiron N3501 i5 1135G7/70253897,21829000,Intel,1135G7,8,Yes,NVIDIA GeForce MX330 2GB,65 W,SSD,512,Yes,15.6,1920 x 1080,60,WVA Anti-glare LED Backlit Narrow Border,1.96,363.96,249,19.9,Windows 10,Nhựa,2020,Yes,Yes,Yes,Yes,Yes,Yes,Yes
460VN,5.0,1.0,105.0,MSI,Modern 14 B11MOU 460VN i7 1165G7,21339000,Intel,1195G7,8,Yes,Intel Iris Graphics,65 W,SSD,512,Yes,14.0,1920 x 1080,60,"IPS LCD LED Backlit, True Tone",1.3,319,219,16.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
014VN,5.0,1.0,17.0,MSI,Gaming GF63 10SC 014VN i5 10200H,20990000,Intel,10200H,8,Yes,NVIDIA® GeForce® GTX1650 4GB,120 W,SSD,512,Yes,15.6,1920 x 1080,144,"IPS LCD LED Backlit, True Tone",2.2,359,249.6,24.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
468VN,5.0,1.0,1322.0,MSI,Gaming GF63- 468VN i5 10500H,20369000,Intel,10500H,8,Yes,NVIDIA GeForce GTX1650 Max Q 4GB,120 W,SSD,512,Yes,15.6,1920 x 1080,144,"IPS LCD LED Backlit, True Tone",1.86,359,254,21.7,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
678VN,5.0,1.0,129.0,MSI,Modern 15 A11MU 678VN i5 1155G7,19999000,Intel,1155G7,8,Yes,Intel Iris Graphics,65 W,SSD,512,Yes,15.6,1920 x 1080,60,"IPS LCD LED Backlit, True Tone",1.6,356.8,233.7,16.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2020,5.0,1.0,167.0,Microsoft,Surface Laptop Go/Core i5-1035G1,19999000,Intel,1035G1,8,Yes,Intel UHD Graphics,39 W,SSD,128,Yes,12.4,1536 x 1024,60,IPS LCD,1.1,278.18,205.67,15.69,Windows 10,Nhôm,Trung Quốc,Yes,Yes,Yes,Yes,Yes,No,Yes
292VN,5.0,1.0,33.0,MSI,Gaming Bravo 15 A4DCR 292VN R5 4600H,19990000,AMD,4600H,8,Yes,AMD Radeon RX 5300M 3GB,180 W,SSD,512,Yes,15.6,1920 x 1080,144,"IPS LCD LED Backlit, True Tone",1.91,359,254.5,21.7,Windows 10,Kim loại và nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
70262929,5.0,1.0,35.0,Dell,Inspiron N5415 R5 5500U/70262929,19799000,AMD,5500U,8,Yes,AMD Radeon Graphics,65 W,SSD,256,Yes,14.0,1920 x 1080,60,WVA Anti-glare LED Backlit Narrow Border,1.43,322,212,18,Windows 10,--,2021,Yes,Yes,Yes,Yes,Yes,Yes,No
A515EP-BQ496T,5.0,1.0,166.0,Asus,Vivobook A515EP-BQ496T/i5-1135G7,19499000,Intel,1135G7,8,Yes,Nvidia Geforce MX330 2GB,42 W,SSD,512,Yes,15.6,1920 x 1080,60,Anti-glare LED-backlit,1.8,359,233,23.5,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
82LN00APVN,4.0,2.0,304.0,Lenovo,IdeaPad Slim 5 15ALC05 R7 5700U,18999000,AMD,5700U,8,Yes,AMD Radeon Graphics,45 W,SSD,512,Yes,15.6,1920 x 1080,60,"IPS LCD LED Backlit, True Tone",1.66,356.67,233.13,19.9,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
21A2004AVN,5.0,1.0,431.0,Lenovo,ThinkBook 14 G3 ACL R5 5500U/21A2004AVN,18699000,AMD,5500U,8,Yes,AMD Radeon Graphics,45 W,SSD,512,Yes,14.0,1920 x 1080,60,"IPS LCD LED Backlit, True Tone",1.4,323,217.5,17.9,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
70253897,5.0,1.0,2.0,Dell,Vostro V5515 R3 5300U/70253897,18599000,AMD,5300U,8,Yes,AMD Radeon Graphics,65 W,SSD,256,Yes,15.6,1920 x 1080,60,WVA Anti-glare LED Backlit Narrow Border,1.74,356,228,18,Windows 10,--,2021,Yes,Yes,Yes,Yes,Yes,Yes,No
46L79PA,5.0,1.0,91.0,HP,Pavilion 14 dv0510TU i5-1135G7/46L79PA,18499000,Intel,1135G7,8,Yes,Intel Iris Xe Graphics,45 W,SSD,512,Yes,14.0,1920 x 1080,--,FHD,1.41,325,216.6,17,Windows 11,--,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
NS14A9VNV561-ABA,5.0,1.0,23.0,Avita,Liber NS14A9 R5 4500U/NS14A9VNV561-ABA,17999000,AMD,4500U,8,Yes,AMD Radeon RX Graphics,42 W,SSD,512,Yes,14.0,1920 x 1080,60,--,1.3,--,--,--,Windows 10,Nhôm,2020,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NS14A9VNV561-UGA,5.0,1.0,31.0,Avita,Liber NS14A9 R5 4500U/NS14A9VNV561-UGA,17999000,AMD,4500U,8,Yes,Radeon RX Graphics,42 W,SSD,512,Yes,14.0,1920 x 1080,60,--,1.3,--,--,--,Windows 10,Nhôm,2020,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4P5G7PA,4.0,3.0,1388.0,HP,Pavilion 15 eg0540TU i5 1135G7,17999000,Intel,1135G7,8,Yes,Intel Iris Xe Graphics,45 W,SSD,256,Yes,15.6,1920 x 1080,60,--,1.68,360,234,17.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
90NB0TY1-M23210,5.0,1.0,20.0,Asus,VivoBook X515EA-BR1409T/i5-1135G7,17599000,Intel,1135G7,8,Yes,Intel Iris Xe Graphics,37 W,,512,Yes,15.6,1366 x 768,60,LED Backlit,1.8,360,235,199,Windows 10,ABS plastic,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
518V6PA,5.0,1.0,1024.0,HP,240 G8 i5 1135G7,17499000,Intel,1135G7,8,Yes,Intel Xe Graphics,45 W,SSD,256,Yes,14.0,1920 x 1080,60,--,1.42,324,225,19.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
062VN,5.0,2.0,1483.0,MSI,Modern 14 B5M R5 5500U/062VN,17299000,AMD,5500U,8,Yes,AMD Radeon Graphics,65 W,SSD,512,Yes,14.0,1920 x 1080,60,Anti-glare LED-backlit,1.3,319,219,16.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
36A43PA,5.0,1.0,212.0,HP,340s G7 i5 1035G1/36A43PA,17199000,Intel,1035G1,8,Yes,Intel UHD Graphics,45 W,SSD,256,Yes,14.0,1920 x 1080,60,--,1.3,324,225,17.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
