sd_card,P/N,ram_upgradable,GPU,displ_rate,backlit_keyboard,Weight,thickness,width,length,screen_technology,Battery,OS,displ_resolution,Surface,displ_size,Price,comment_count,Rating_count,Rating,ram_size,cpu_code,cpu_brand,storage_size,storage_type,storage_extra_slot,Release_year,Brand,Series,usb_a,type_c,lan,headphone_jack,hdmi,url,1star,2star,3star,4star,5star
no,GV301QC-K6029T,yes,NVIDIA GeForce RTX 3050,120,yes,1.3,15.8,222,299,IPS,62,Windows 10,1920 x 1200,,13.4,77.990.000,3,0,,32,5980HS,AMD,1024,SSD,,,Asus,Gaming ROG Flow,yes,yes,no,yes,yes,https://cellphones.com.vn/laptop-asus-rog-flow-x13-gv301qc-k6029t.html,0,0,0,0,0
no,GV301QC-K6052T,no,NVIDIA GeForce RTX 3050,120,yes,1.3,15.8,222,299,IPS,62,Windows 10,1920 x 1200,,13.4,38.390.000,16,0,,16,5900HS,AMD,512,SSD,,,Asus,Gaming ROG Flow,yes,yes,no,yes,yes,https://cellphones.com.vn/laptop-asus-rog-flow-x13-gv301qc-k6052t.html,0,0,0,0,0
yes,G513IC-HN002T,yes,NVIDIA GeForce RTX 3050,144,yes,2.1,20.6,259,354,IPS,56,Windows 10,1920 x 1080,,15.6,26.590.000,31,0,,8,4800H,AMD,512,SSD,,,Asus,Gaming ROG Strix,yes,yes,no,yes,yes,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513ic-hn002t.html,0,0,0,0,0
yes,G513IH-HN015T,yes,NVIDIA GeForce GTX 1650,144,yes,2.3,22.6,259,354,IPS,56,Windows 10,1920 x 1080,plastic,15.6,23.090.000,147,2,4.5,8,4800H,AMD,512,SSD,yes,,Asus,Gaming ROG Strix,yes,yes,yes,yes,yes,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513ih-hn015t.html,0,0,0,1,1
yes,G513IM-HN057T,yes,NVIDIA GeForce RTX 3060,144,yes,2.3,22.6,259,354,IPS,90,Windows 10,1920 x 1080,plastic,15.6,31.490.000,20,0,,16,4800H,AMD,512,SSD,,,Asus,Gaming ROG Strix,yes,yes,no,yes,yes,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513im-hn057t.html,0,0,0,0,0
yes,G513QC-HN015T,yes,NVIDIA GeForce RTX 3050,144,yes,2.3,20.7,259,354,IPS,56,Windows 10,1920 x 1080,,15.6,27.790.000,91,0,,8,5800H,AMD,512,SSD,,,Asus,Gaming ROG Strix,yes,yes,no,yes,yes,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513qc-hn015t.html,0,0,0,0,0
yes,G513QE-HN010T,yes,NVIDIA GeForce RTX 3050Ti,144,yes,2.1,20.7,259,354,IPS,56,Windows 10,1920 x 1080,,15.6,30.490.000,10,0,,16,5800H,AMD,512,SSD,,,Asus,Gaming ROG Strix,yes,yes,yes,yes,yes,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513qe-hn010t.html,0,0,0,0,0
yes,G513QM-HF389T,yes,NVIDIA GeForce RTX 3060,300,yes,2.3,22.6,259,354,IPS,90,Windows 10,1920 x 1080,plastic,15.6,,5,0,,16,5900HX,AMD,512,SSD,yes,,Asus,Gaming ROG Strix,yes,yes,yes,yes,yes,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513qm-hf389t.html,0,0,0,0,0
yes,G513QR-HQ096T,yes,NVIDIA GeForce RTX 3070,165,yes,2.3,22.6,259,354,IPS,90,Windows 10,,,15.6,46.490.000,3,0,,16,5900HX,AMD,1024,SSD,,,Asus,Gaming ROG Strix,yes,yes,yes,yes,yes,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513qr-hq096t.html,0,0,0,0,0
no,G513QR-HQ264T,yes,NVIDIA GeForce RTX 3070,300,yes,2.3,22.6,259,354,IPS,90,Windows 10,1920 x 1080,,15.6,46.990.000,1,0,,16,5900HX,AMD,512,SSD,yes,,Asus,Gaming ROG Strix,yes,yes,yes,yes,yes,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513qr-hq264t.html,0,0,0,0,0
,G713QR-HG073T,,,60,,,,,,,,,,,,48.490.000,0,0,,8,5900HX,AMD,1024,,,,Asus,Gaming ROG Strix,,,,,,https://cellphones.com.vn/laptop-asus-rog-strix-g17-g713qr-hg073t.html,0,0,0,0,0
yes,G713QR-K4148T,yes,NVIDIA GeForce RTX 3070,165,yes,2.7,23.4,282,395,IPS,90,Windows 10,2560 x 1440,,17.3,,3,0,,16,5900HX,AMD,1024,SSD,,,Asus,Gaming ROG Strix,yes,yes,yes,yes,yes,https://cellphones.com.vn/laptop-asus-rog-strix-g17-g713qr-k4148t.html,0,0,0,0,0
yes,G533QM-HF089T,yes,NVIDIA GeForce RTX 3060,300,,2.5,22.6,259,354,IPS,90,Windows 10,1920 x 1080,,15.6,47.490.000,6,0,,16,5900HX,AMD,1024,SSD,,,Asus,Gaming ROG Strix,yes,yes,yes,yes,yes,https://cellphones.com.vn/laptop-asus-rog-strix-scar-15-g533qm.html,0,0,0,0,0
