PN,Name,Price,Price Origin,Screen Size,CPU,RAM,Hard Drive,Graphic Card,Weight,Rating,Rating detail,Rating Count,Comment Count
YX51W2,Dell Vostro V3400 i5 1135G7/YX51W2,20369000,20999000,"14.0""",Core i5,8 GB,nan,NVIDIA GeForce MX 330 2GB,1.59,5,"['1', '0', '0', '0', '0']",1,41
P112F001,Dell Inspiron N3511 i5 1135G7/P112F001BBL,19999000,19999000,"15.6""",Core i5,4 GB,SSD 512 GB,Intel Iris Xe Graphics,1.73,5,"['1', '0', '0', '0', '0']",1,37
A515EA-L11970T,Asus Vivobook A515EA-L11970T/i5-1135G7,19999000,19999000,"15.6""",Core i5,8 GB,SSD 512 GB,Intel Iris Xe Graphics,1.8,5,"['1', '0', '0', '0', '0']",1,188
21A2004BVN,Lenovo ThinkBook 14 G3 ACL R7 5700U/21A2004BVN,19999000,21499000,"14.0""",Ryzen 7,8 GB,SSD 512 GB,AMD Radeon Graphics,1.4,3,"['1', '0', '0', '0', '1']",2,122
NH.QAYSV.004,ACER Aspire Gaming A715-42G-R4ST/R5-5500U,19999000,19999000,"15.6""",Ryzen 5,8 GB,SSD 256 GB,GeForce GTX 1650 4G-GDDR6,2.1,3,"['1', '1', '1', '0', '1']",4,1228
nan,Asus Vivobook Flip TM420IA-EC227T/R7-4700U,19999000,19999000,"14.0""",Ryzen 7,8 GB,SSD 512 GB,AMD Radeon Graphics,1.5,nan,"['nan', 'nan', 'nan', 'nan', 'nan']",nan,nan
678VN,MSI Modern 15 A11MU 678VN i5 1155G7,19999000,19999000,"15.6""",Core i5,8 GB,SSD 512 GB,Intel Iris Graphics,1.6,5,"['1', '0', '0', '0', '0']",1,110
90NB0SG2-M13950,Asus Vivobook A515EA-L1963T/i5-1135G7,19999000,19999000,"15.6""",Core i5,8 GB,SSD 512 GB,Intel Iris Xe Graphics,1.8,5,"['1', '0', '0', '0', '0']",1,326
2020,Microsoft Surface Laptop Go/Core i5-1035G1,19999000,19999000,"12.4""",Core i5,8 GB,SSD 128 GB,Intel UHD Graphics,1.1,5,"['1', '0', '0', '0', '0']",1,127
292VN,MSI Gaming Bravo 15 A4DCR 292VN R5 4600H,19990000,19990000,"15.6""",Ryzen 5,8 GB,SSD 512 GB,AMD Radeon RX 5300M 3GB,1.91,5,"['1', '0', '0', '0', '0']",1,29
Y1N1T5,Dell Inspiron N3505 R5 3500U/Y1N1T5,19699000,20299000,"15.6""",Ryzen 5,8 GB,SSD 512 GB,AMD Radeon Graphics,1.83,5,"['1', '0', '0', '0', '0']",1,77
P106F003ASL,Dell Inspiron N5515 R5 5500U/P106F003ASL,19299000,19299000,"15.6""",Ryzen 5,8 GB,SSD 256 GB,AMD Radeon RX Graphics Vega 7,1.75,5,"['1', '0', '0', '0', '0']",1,121
82FG00R0VN,Lenovo Ideapad Slim 5 15ITL05 i5 1135G7,19199000,20199000,"15.6""",Core i5,16 GB,SSD 512 GB,Intel Iris Xe Graphics,1.66,5,"['2', '1', '0', '0', '0']",3,905
90NB0TP2-M03440,Asus Vivobook M513UA-L1230T/R5-5500U,18999000,18999000,"15.6""",Ryzen 5,8 GB,SSD 512 GB,AMD Radeon Graphics,1.8,5,"['2', '0', '0', '0', '0']",2,542
P90F005,Dell Inspiron N3501B i5 1135G7,18999000,18999000,"15.6""",Core i5,4 GB,SSD 512 GB,Intel Iris Xe Graphics,1.96,5,"['1', '0', '0', '0', '0']",1,288
82FG0129VN,Lenovo IdeaPad Slim 5 15ITL05 i5 1135G7,18999000,18999000,"15.6""",Core i5,8 GB,SSD 512 GB,Intel Iris Xe Graphics,1.66,5,"['2', '0', '0', '0', '0']",2,421
